sample,configuration,F_kch_peak_N,F_chv1_peak_N,a_peak_m_s2,j_peak_m_s3,P_peak_W,P_mean_W,u1_peak_m
34,rigid,43943.88027738539,0.0,2.3274081510713813,20.710837267662328,92300.00000000001,77343.01291402277,0.0
34,compliant,41230.37614810053,11904.69485997773,2.4013504005797586,30.144773940998846,92300.00000000001,78511.05953646392,0.06175038838041141
35,rigid,47032.70751588003,0.0,2.3248183729409675,22.00209016179008,92300.00000000001,77763.17749871577,0.0
35,compliant,41648.584748687914,10796.897967309034,2.331881256099848,32.95288549665,92300.00000000001,79214.4702769508,0.05095004472742128
36,rigid,46709.76816107164,0.0,2.3298851693515985,21.8449191991636,92300.00000000001,77701.70772802563,0.0
36,compliant,41651.07120348441,11137.184123568199,2.3299807032716444,32.61090057500016,92300.00000000001,78836.2832859254,0.05496108470014631
37,rigid,43813.32061348119,0.0,2.284261385559546,20.983104646849,92300.00000000001,77413.26656663042,0.0
37,compliant,41431.47895464791,11763.015767177762,2.3928857168469335,30.734821927842745,92300.00000000001,78525.20828459383,0.059518925265536336
38,rigid,46881.92814580445,0.0,2.328397537753574,21.917917113512857,92300.00000000001,77731.32296944357,0.0
38,compliant,41676.05012493816,11063.27265384577,2.3250043042898483,32.754823090436844,92300.00000000001,78979.17547066652,0.053025925541096364
39,rigid,45701.7660370417,0.0,2.315395128478542,21.54479097712158,92300.00000000001,77590.79865466784,0.0
39,compliant,41558.946862353856,11217.1250716738,2.367156522053449,31.96233642108416,92300.00000000001,78844.4585097569,0.052966537605631275
40,rigid,46186.951394242154,0.0,2.3253489992678738,21.671324872417557,92300.00000000001,77635.47593127908,0.0
40,compliant,41574.145541635065,11263.685128532592,2.3434858025916583,32.228945683846916,92300.00000000001,78640.0356045233,0.05366296763395484
41,rigid,46487.13357760191,0.0,2.329176458917516,21.76450693600563,92300.00000000001,77670.1600406056,0.0
41,compliant,41817.0240578676,11055.911086645934,2.3562359337340695,32.44712715075997,92300.00000000001,79013.8116619912,0.05999501130403954
42,rigid,44619.2235334537,0.0,2.2853981349107926,21.31632985411491,92300.00000000001,77514.58459007595,0.0
42,compliant,41664.142828264565,11484.945743557211,2.383059410434271,31.46950848181112,92300.00000000001,78733.1038459945,0.057330158897146336
43,rigid,43900.592839148376,0.0,2.3117296814156134,20.810441744158766,92300.00000000001,77368.41203390519,0.0
43,compliant,41210.9301909401,11721.991371203581,2.401087213240828,30.380977957042205,92300.00000000001,78545.67158360005,0.058398368441232654
44,rigid,46352.43926199426,0.0,2.3277427384875296,21.72110441279264,92300.00000000001,77653.77718957966,0.0
44,compliant,41674.39359454777,11193.568267417333,2.348615625873947,32.331559415027726,92300.00000000001,78884.0189877607,0.054955363949480696
45,rigid,43999.8323546291,0.0,2.2657394279241316,21.19769907712481,92300.00000000001,77477.48888371793,0.0
45,compliant,41549.33863709676,11412.184541606213,2.3949709221775493,31.234309792284733,92300.00000000001,78786.15096550327,0.05963444932920917
46,rigid,46148.99659146233,0.0,2.324706308140094,21.660385294804456,92300.00000000001,77631.55461389148,0.0
46,compliant,41828.17090905539,11161.647746135333,2.3582516780385845,32.20797106268245,92300.00000000001,78966.05556963712,0.05796264708068617
47,rigid,43965.417764706704,0.0,2.335823407200394,20.655515757879357,92300.00000000001,77329.27817775053,0.0
47,compliant,40998.91089859958,11786.438712860703,2.406851490361646,30.015811294471604,92300.00000000001,78576.45689840018,0.057342629523326076
48,rigid,46432.217710867095,0.0,2.3286948494380795,21.74621392183417,92300.00000000001,77663.19744775075,0.0
48,compliant,41938.155381234465,11145.24243822066,2.344211574117992,32.39604224866167,92300.00000000001,78951.42906579898,0.06057916170894956
49,rigid,45884.68425153598,0.0,2.319577443552987,21.58796236313117,92300.00000000001,77606.31154914483,0.0
49,compliant,41887.11217513669,11308.898362660315,2.3572176114183208,32.04679659190708,92300.00000000001,78842.5841792249,0.06392789850063628
50,rigid,43841.62802099547,0.0,2.292568633921803,20.93220641455693,92300.00000000001,77399.58651908202,0.0
50,compliant,41343.28801835494,11817.285004255118,2.395939239296922,30.596272040358485,92300.00000000001,78509.9078917505,0.056921945106569526
51,rigid,43809.484784492124,0.0,2.282879550653149,20.99205552952634,92300.00000000001,77415.68458633558,0.0
51,compliant,41381.86366143308,11584.755264655949,2.403130808155936,30.751084948162088,92300.00000000001,78748.79116548927,0.05645193279819285
52,rigid,43949.378869069,0.0,2.3294931954898175,20.69727679000391,92300.00000000001,77339.61864611717,0.0
52,compliant,41078.47389705647,11674.788225843644,2.409705260386829,30.123498494081275,92300.00000000001,78738.33596642144,0.06042218991111722
53,rigid,43781.12600943002,0.0,2.274985662664278,21.039037409029476,92300.00000000001,77428.89959898125,0.0
53,compliant,41336.95965515198,11631.62565430531,2.394222462770472,30.862378101267296,92300.00000000001,78522.16081637907,0.05447103734519326
54,rigid,46110.3835626453,0.0,2.3240673148420115,21.64930811027807,92300.00000000001,77627.53765629962,0.0
54,compliant,41623.68273340838,11351.232613312071,2.3471904660746645,32.14908855594439,92300.00000000001,78727.51909659381,0.05225934083928685
55,rigid,45338.02417217563,0.0,2.306173103140395,21.464431206496755,92300.00000000001,77562.80830287795,0.0
55,compliant,41703.645238838086,11247.224918787151,2.3812696128230186,31.801102387062144,92300.00000000001,78898.46435618258,0.05798985208804705
56,rigid,43878.32224613647,0.0,2.3043563851190925,20.857076049826475,92300.00000000001,77380.30746187542,0.0
56,compliant,41231.09280728071,11596.520269391927,2.4102426247154085,30.46327013383103,92300.00000000001,78777.93878505657,0.05439064115086107
57,rigid,44339.170177431995,0.0,2.2766454855623692,21.26135993688908,92300.00000000001,77497.43264795745,0.0
57,compliant,41415.875377518125,11653.644966483973,2.375399406864858,31.322608597795096,92300.00000000001,78419.23510433194,0.057268438406083415
58,rigid,43951.71531291634,0.0,2.33041965407358,20.691144968054346,92300.00000000001,77338.09732793462,0.0
58,compliant,41190.138404956866,11924.669551890738,2.4010196701364634,30.098135310453586,92300.00000000001,78455.12122292849,0.05969988277610565
59,rigid,45812.850902627615,0.0,2.3180096132467156,21.570305934656574,92300.00000000001,77600.00003010874,0.0
59,compliant,41532.458391607506,11222.517345035081,2.3646984790142938,32.01856162287339,92300.00000000001,78843.57651980864,0.051157144609513906
60,rigid,46238.67836239073,0.0,2.3261957303606664,21.686320925494215,92300.00000000001,77640.90691396449,0.0
60,compliant,41649.359750964664,11308.796908725877,2.343632967668725,32.25597178343193,92300.00000000001,78699.62283825639,0.05751942921653295
61,rigid,44819.2110021048,0.0,2.2914601933325116,21.356165905553155,92300.00000000001,77527.28735799571,0.0
61,compliant,41608.82725348375,11472.442215812665,2.3787936873554827,31.537549278352202,92300.00000000001,78736.94984143655,0.05574284010307019
62,rigid,43744.32192773029,0.0,2.2644763762508546,21.100800647758177,92300.00000000001,77447.11884717827,0.0
62,compliant,41338.92546406503,11713.967061999836,2.3870488200478235,30.979142522028155,92300.00000000001,78351.56820301087,0.05668273317714613
63,rigid,43898.829524538385,0.0,2.3111230781211134,20.81414611640696,92300.00000000001,77369.38138841004,0.0
63,compliant,41459.90387707877,11979.180794146361,2.391788551565128,30.35528901864464,92300.00000000001,78464.60470604786,0.06091757831659654
64,rigid,44034.3960264561,0.0,2.266853892187328,21.2036815362749,92300.00000000001,77479.50043563487,0.0
64,compliant,41460.82785608647,11391.2004728441,2.394358902596366,31.235439929788242,92300.00000000001,78779.44203769337,0.05854599236757595
65,rigid,47053.21722887749,0.0,2.324143651627594,22.014583394440336,92300.00000000001,77768.02081036367,0.0
65,compliant,41618.8196358329,11120.499513836563,2.3039465727561037,32.950935087737776,92300.00000000001,78897.85396113837,0.05584272060403349
66,rigid,46322.25324681276,0.0,2.3273976463520967,21.711449416241123,92300.00000000001,77650.17517654377,0.0
66,compliant,41549.795566263514,11342.076621055236,2.335809329245535,32.316235178726686,92300.00000000001,78558.04346437338,0.059344275138435196
67,rigid,43764.048942531146,0.0,2.269864704411134,21.069600860746306,92300.00000000001,77437.82156424581,0.0
67,compliant,41280.05174288991,11775.351460481872,2.3897145636257733,30.89008806018998,92300.00000000001,78251.86497067988,0.0546042367852943
68,rigid,45794.59681270401,0.0,2.3175953835743712,21.566090593122794,92300.00000000001,77598.44430182937,0.0
68,compliant,41736.8652888998,11186.747467904257,2.373210973688799,32.01916310513292,92300.00000000001,78959.28265421544,0.052897476328368526
69,rigid,44737.921395914236,0.0,2.2890201487931563,21.33986048220399,92300.00000000001,77522.06029413393,0.0
69,compliant,41638.95644407172,11469.440690259693,2.382096590108347,31.510227298862333,92300.00000000001,78756.44018279946,0.05780674684415112
