P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s,braking_time_s,braking_distance_m,mean_decel_m_s2
92300.00000000001,73987.10112987658,269560.139983531,35499.984096962566,19582.62167091632,41564.70895133679,0.0,0.0,2.5065353069974208,1.203012914430284,24.037313931550216,6.766220165178693,0.0,0.0,0.0,0.0,3.6433396614681044,8.180312757993045,4.0,2.2452786624319065,0.0,10,rigid,start_off,full_scale,0.1225433349609375,,,
92300.00000000001,74525.21009383319,273881.94432127295,35499.97627278611,19539.079261260224,39476.3409543303,9430.846639985515,1721.10069207186,2.444803818070909,1.2024635102353152,30.904728529989427,7.9616309060011865,0.047152629153864034,0.011473989106596914,0.15169860354928616,0.05812427972826312,3.675024115684259,8.342748188138128,4.0,2.270120676415437,3.675024115684259,10,compliant,start_off,full_scale,0.5579867362976074,,,
92300.00000000001,84728.68333070748,2239221.398388005,35499.75823997926,9825.896845717172,4403.350495901613,0.0,0.0,0.5910237309079358,0.5834754698243657,6.643966184024233,0.5933317666625185,0.0,0.0,0.0,0.0,26.428138740785357,206.23111471282755,0.0010000000000044281,7.8034671585102595,0.0,10,rigid,braking,full_scale,,26.428138740785357,206.23111471282755,-0.581892607835921
92300.00000000001,84753.17132450845,2228711.531911943,35499.87870212802,9858.707842829983,4403.317737460654,2304.935027190568,416.93188639442025,0.6465165732904552,0.5862408062646941,8.165760681102963,0.6812058280690997,0.011524675028295342,0.002779545901767911,0.03839357265763153,0.013320854923175973,26.296497193933988,204.43997411160126,0.0009999999999853973,7.774418421495544,26.296497193933988,10,compliant,braking,full_scale,,26.296497193933988,204.43997411160126,-0.5848055901782967
92300.00000000001,77428.6878232625,347383.6637762989,35499.97574135144,18096.227028949295,41564.394888394454,0.0,0.0,2.5064930578441817,1.1141975936262063,24.035515581198183,6.097079436691083,0.0,0.0,0.0,0.0,4.4864981383803295,11.768793153097022,4.500000000000001,2.6231579390377786,0.0,11,rigid,start_off,full_scale,0.1299142837524414,,,
92300.00000000001,77948.54904499944,354794.4716335801,35499.997265764534,18023.986566913343,39476.392249906516,9430.855821030404,1721.1003330694975,2.444778873974087,1.1091410775989663,30.90048616976003,7.153321576832693,0.047152646639251915,0.01147399653111648,0.1517013995957012,0.05812419274837502,4.551649465967076,12.073988436879379,4.5,2.6526622017481247,4.551649465967076,11,compliant,start_off,full_scale,0.5925889015197754,,,
92300.00000000001,84728.68333070748,2239221.398388005,35499.75823997926,9825.896845717172,4403.350495901613,0.0,0.0,0.5910237309079358,0.5834754698243657,6.643966184024233,0.5933317666625185,0.0,0.0,0.0,0.0,26.428138740785357,206.23111471282755,0.0010000000000044281,7.8034671585102595,0.0,11,rigid,braking,full_scale,,26.428138740785357,206.23111471282755,-0.581892607835921
92300.00000000001,84753.17132450845,2228711.531911943,35499.87870212802,9858.707842829983,4403.317737460654,2304.935027190568,416.93188639442025,0.6465165732904552,0.5862408062646941,8.165760681102963,0.6812058280690997,0.011524675028295342,0.002779545901767911,0.03839357265763153,0.013320854923175973,26.296497193933988,204.43997411160126,0.0009999999999853973,7.774418421495544,26.296497193933988,11,compliant,braking,full_scale,,26.296497193933988,204.43997411160126,-0.5848055901782967
92300.00000000001,80073.26055098194,436951.7474184221,35499.99973926044,16735.46594581386,41564.706384303696,0.0,0.0,2.506484128056343,1.0334094098930118,24.032922723806735,5.527825622812717,0.0,0.0,0.0,0.0,5.4568996492932715,16.383679050786608,5.0,3.002378672603192,0.0,12,rigid,start_off,full_scale,0.13686037063598633,,,
92300.00000000001,80561.21368878154,448298.71677637787,35499.98324122457,16644.069089772656,39475.67695370735,9430.865562269975,1721.0992228121988,2.4447408929949006,1.0250040997335776,30.89430763290619,6.468509779292997,0.04715267542436408,0.011473963279774279,0.15169477830983305,0.0581241049586741,5.564696660457651,16.891748345417497,5.000000000000001,3.0355200742298507,5.564696660457651,12,compliant,start_off,full_scale,0.6240918636322021,,,
