run_id,x1_coded,x2_coded,x3_coded,front_fill_pct,rear_fill_pct,speed_factor_mps,lambda_1,lambda_2,front_unit_mass_kg,rear_unit_mass_kg,front_liquid_mass_kg,rear_liquid_mass_kg,scale,total_movable_mass_kg,load_asymmetry,randomized_run_id,P_peak_W__rigid,P_peak_W__compliant,P_peak_W__reduction_pct,P_mean_W__rigid,P_mean_W__compliant,P_mean_W__reduction_pct,E_engine_J__rigid,E_engine_J__compliant,E_engine_J__reduction_pct,M_peak_Nm__rigid,M_peak_Nm__compliant,M_peak_Nm__reduction_pct,M_mean_Nm__rigid,M_mean_Nm__compliant,M_mean_Nm__reduction_pct,F_kch_peak_N__rigid,F_kch_peak_N__compliant,F_kch_peak_N__reduction_pct,F_chv1_peak_N__rigid,F_chv1_peak_N__compliant,F_chv1_peak_N__reduction_pct,F_v1v2_peak_N__rigid,F_v1v2_peak_N__compliant,F_v1v2_peak_N__reduction_pct,a_peak_m_s2__rigid,a_peak_m_s2__compliant,a_peak_m_s2__reduction_pct,a_rms_m_s2__rigid,a_rms_m_s2__compliant,a_rms_m_s2__reduction_pct,j_peak_m_s3__rigid,j_peak_m_s3__compliant,j_peak_m_s3__reduction_pct,j_rms_m_s3__rigid,j_rms_m_s3__compliant,j_rms_m_s3__reduction_pct,u1_peak_m__rigid,u1_peak_m__compliant,u1_peak_m__reduction_pct,u2_peak_m__rigid,u2_peak_m__compliant,u2_peak_m__reduction_pct,du1_peak_m_s__rigid,du1_peak_m_s__compliant,du1_peak_m_s__reduction_pct,du2_peak_m_s__rigid,du2_peak_m_s__compliant,du2_peak_m_s__reduction_pct,t_manoeuvre_s__rigid,t_manoeuvre_s__compliant,t_manoeuvre_s__reduction_pct,distance_m__rigid,distance_m__compliant,distance_m__reduction_pct,v_end_m_s__rigid,v_end_m_s__compliant,v_end_m_s__reduction_pct,v_mean_m_s__rigid,v_mean_m_s__compliant,v_mean_m_s__reduction_pct,settling_time_s__rigid,settling_time_s__compliant,settling_time_s__reduction_pct,wall_time_s__rigid,wall_time_s__compliant,wall_time_s__reduction_pct,braking_time_s__rigid,braking_time_s__compliant,braking_time_s__reduction_pct,braking_distance_m__rigid,braking_distance_m__compliant,braking_distance_m__reduction_pct,mean_decel_m_s2__rigid,mean_decel_m_s2__compliant,mean_decel_m_s2__reduction_pct
11,0,-1,0,50.0,0.0,4.5,0.5,0.0,3200.0,700.0,2500.0,0.0,full_scale,3900.0,0.6410256410256409,10,92300.00000000001,92300.00000000001,0.0,77428.6878232625,77948.54904499944,-0.6714064726546372,347383.6637762989,354794.4716335801,-2.133320771829225,35499.97574135144,35499.997265764534,-6.0632190998461165e-05,18096.227028949295,18023.986566913343,0.39920178897173414,41564.394888394454,39476.392249906516,5.023536717169789,0.0,9430.855821030404,,0.0,1721.1003330694975,,2.5064930578441817,2.444778873974087,2.4621725433053663,1.1141975936262063,1.1091410775989663,0.45382578962348497,24.035515581198183,30.90048616976003,-28.561777946348606,6.097079436691083,7.153321576832693,-17.32373919528327,0.0,0.047152646639251915,,0.0,0.01147399653111648,,0.0,0.1517013995957012,,0.0,0.05812419274837502,,4.4864981383803295,4.551649465967076,-1.4521643735768188,11.768793153097022,12.073988436879379,-2.5932589672717907,4.500000000000001,4.5,1.9737298215558335e-14,2.6231579390377786,2.6526622017481247,-1.1247611998981963,0.0,4.551649465967076,,0.1299142837524414,0.5925889015197754,-356.13837401358046,,,,,,,,,
12,0,-1,1,50.0,0.0,5.0,0.5,0.0,3200.0,700.0,2500.0,0.0,full_scale,3900.0,0.6410256410256409,7,92300.00000000001,92300.00000000001,0.0,80073.26055098194,80561.21368878154,-0.6093833752266491,436951.7474184221,448298.71677637787,-2.5968472319873825,35499.99973926044,35499.98324122457,4.647334083422206e-05,16735.46594581386,16644.069089772656,0.546126748649414,41564.706384303696,39475.67695370735,5.0259694156897465,0.0,9430.865562269975,,0.0,1721.0992228121988,,2.506484128056343,2.4447408929949006,2.46334035672993,1.0334094098930118,1.0250040997335776,0.8133572308291955,24.032922723806735,30.89430763290619,-28.54993954731377,5.527825622812717,6.468509779292997,-17.01725453491482,0.0,0.04715267542436408,,0.0,0.011473963279774279,,0.0,0.15169477830983305,,0.0,0.0581241049586741,,5.4568996492932715,5.564696660457651,-1.97542593949552,16.383679050786608,16.891748345417497,-3.1010696257901613,5.0,5.000000000000001,-1.7763568394002505e-14,3.002378672603192,3.0355200742298507,-1.1038381643553195,0.0,5.564696660457651,,0.13686037063598633,0.6240918636322021,-356.0062644372981,,,,,,,,,
13,0,0,-1,50.0,50.0,4.0,0.5,0.5,3200.0,3200.0,2500.0,2500.0,full_scale,6400.0,0.0,17,92300.00000000001,92300.00000000001,0.0,74049.6910482716,75245.74403326683,-1.6152032075536205,300480.70642089867,309287.4535848882,-2.9308860688224896,35499.98361706523,35499.946394616294,0.00010485201721328918,19538.817701789263,19509.513773079267,0.14997800356831673,44859.60072361631,41619.36525163851,7.223059099302194,0.0,11478.445886971866,,0.0,5695.532479635795,,2.29272899400587,2.375029218566283,-3.5896185190477974,1.0877605238594161,1.0814400761854157,0.5810513927803913,21.37015480902869,31.581620168396398,-47.7837687682705,6.2887089998474535,7.462397643558413,-18.663427481529673,0.0,0.05739155024084077,,0.0,0.037970093734434426,,0.0,0.15010048139607812,,0.0,0.12933644262580768,,4.057825254463532,4.110364746319066,-1.294769699551282,9.139139240515668,9.452334658426524,-3.4269684449318523,4.0,3.9999999999999996,1.1102230246251565e-14,2.252225937693216,2.299634044196718,-2.1049445222204675,0.0,4.110364746319066,,0.13527178764343262,0.5285277366638184,-290.71542253657657,,,,,,,,,
14,0,0,0,50.0,50.0,4.5,0.5,0.5,3200.0,3200.0,2500.0,2500.0,full_scale,6400.0,0.0,4,92300.00000000001,92300.00000000001,0.0,77529.93421294705,78664.84796449162,-1.4638394357815054,388732.2539761966,404421.14974230935,-4.035913049569966,35499.97358062041,35499.99185214582,-5.146912395160938e-05,18038.762123835706,17938.06328057768,0.558235884295886,44860.00418731536,41619.32662820126,7.223979617974341,0.0,11478.445600477948,,0.0,5695.534806594728,,2.2927284318121792,2.375013818968,-3.5889722487011815,1.0048960404684093,0.9911126286554072,1.3716256466268204,21.369030554424313,31.574208553382334,-47.75685997063216,5.657038126731197,6.671595052507156,-17.934419090829067,0.0,0.057391481177536674,,0.0,0.03797009944780614,,0.0,0.15009925530732637,,0.0,0.12933510816346422,,5.013963418419625,5.141065675546214,-2.53496578494486,13.208739030744399,13.83977838278734,-4.77743825942921,4.5,4.5,0.0,2.6343907986765496,2.6920057664889976,-2.187031925612263,0.0,5.141065675546214,,0.14477777481079102,0.5601701736450195,-286.91724221974107,,,,,,,,,
15,0,0,1,50.0,50.0,5.0,0.5,0.5,3200.0,3200.0,2500.0,2500.0,full_scale,6400.0,0.0,1,92300.00000000001,92300.00000000001,0.0,80202.2303429332,81253.15246686543,-1.3103402728809963,490958.4245006497,515602.59752968955,-5.019604878784855,35499.98534358968,35499.915724069986,0.00019611140404826672,16664.558365916753,16515.27911907323,0.8957887965926282,44859.6179395071,41619.36200329213,7.223101945684052,0.0,11478.443541270408,,0.0,5695.528363674932,,2.2926724507338463,2.3749771320377704,-3.5899014391514905,0.9295342488099314,0.9102662416454541,2.0728668351000334,21.365294160773658,31.570570896215855,-47.76567389452996,5.119081920208227,6.003763902117872,-17.282043844956846,0.0,0.0573914971937709,,0.0,0.037970071149355175,,0.0,0.1500934704993249,,0.0,0.12933545645605682,,6.121505878345054,6.345631915511824,-3.6612892582463976,18.476218639446987,19.56897306908835,-5.914383516269489,5.0,4.999999999999999,1.7763568394002505e-14,3.0182473216655517,3.0838493960206024,-2.173515532810933,0.0,6.345631915511824,,0.15284252166748047,0.5860929489135742,-283.4619728328352,,,,,,,,,
16,0,1,-1,50.0,100.0,4.0,0.5,1.0,3200.0,5700.0,2500.0,5000.0,full_scale,8900.0,0.28089887640449435,24,92300.00000000001,92300.00000000001,0.0,74118.92789514095,76062.72030872166,-2.622531745643533,333194.5654433919,347293.0335382778,-4.231301934989433,35499.98059483722,35499.97618419845,1.2424341361143386e-05,19492.774532553765,19470.2616165229,0.11549364608545981,49636.4113206276,43129.11691723975,13.109921185385112,0.0,14758.65012468011,,0.0,9368.081524758965,,2.20750036459242,2.1470111816166764,2.7401663866502615,0.9853284210330129,0.9811106307458944,0.4280593350485649,19.248142457923507,32.22735632975895,-67.430994446389,5.5220769875901405,7.225356469083902,-30.844906460405586,0.0,0.07379322022639137,,0.0,0.062453524626782206,,0.0,0.1482831930311341,,0.0,0.1524691338972639,,4.495404546525225,4.565877109426176,-1.5676578641943106,10.158806847981067,10.65234916884834,-4.858270545476106,3.9999999999999996,3.9999999999999996,0.0,2.259820399956194,2.3330345873552196,-3.2398232797812154,0.0,4.565877109426176,,0.13749241828918457,0.47821831703186035,-247.81431804191197,,,,,,,,,
17,0,1,0,50.0,100.0,4.5,0.5,1.0,3200.0,5700.0,2500.0,5000.0,full_scale,8900.0,0.28089887640449435,21,92300.00000000001,92300.00000000001,0.0,77637.11261976593,79463.59451348407,-2.352588642320438,432751.0876289952,458946.7757475071,-6.053292266008106,35499.984928939404,35499.934722777965,0.00014142586691046427,17979.316343415583,17836.461173876924,0.7945528451140258,49636.77589380738,43128.91213667549,13.110971935515664,0.0,14758.649868016239,,0.0,9368.081856381046,,2.207492958495834,2.1469534001797683,2.74245759575681,0.9081034129781353,0.8926471160147244,1.7020415012781307,19.244295590252165,32.221856513415275,-67.43588437571417,4.958602350022606,6.422989254429633,-29.53225124818389,0.0,0.07379322114093632,,0.0,0.06245349548571793,,0.0,0.14828272232872267,,0.0,0.1524693655396053,,5.574023466694708,5.775560224243683,-3.6156424305203387,14.750058997937023,15.802272727476623,-7.133623870160556,4.5,4.5,0.0,2.6462140239403773,2.7360588721830843,-3.3952222847387996,0.0,5.775560224243683,,0.1467432975769043,0.511458158493042,-248.5393656395109,,,,,,,,,
18,0,1,1,50.0,100.0,5.0,0.5,1.0,3200.0,5700.0,2500.0,5000.0,full_scale,8900.0,0.28089887640449435,13,92300.00000000001,92300.00000000001,0.0,80340.43339708785,82017.92984928808,-2.0879853160725315,549043.884408824,591378.7424558229,-7.710651051615367,35499.97767133374,35499.70328931093,0.0007729075926572588,16589.851428149195,16364.906372723293,1.35591965003509,49636.74389626067,43128.39596642561,13.111955819336806,0.0,14758.649356905808,,0.0,9368.07360741955,,2.2074547311898414,2.146849100769032,2.745498223111579,0.837668529044004,0.8139156926978621,2.835588961811662,19.24085226459215,32.21257082497917,-67.41758827522487,4.477500801063359,5.746757416039023,-28.347434682183184,0.0,0.07379322227429384,,0.0,0.062453517164746994,,0.0,0.14827549129134152,,0.0,0.15246887232060236,,6.833967171861504,7.210359290249217,-5.507666468423897,20.742667599697175,22.627434826720673,-9.086426410511514,5.0,5.0,0.0,3.0352308063347992,3.138184104693656,-3.391942983182162,0.0,7.210359290249217,,0.1674182415008545,0.5431423187255859,-224.42242485435125,,,,,,,,,
19,1,-1,-1,100.0,0.0,4.0,1.0,0.0,5700.0,700.0,5000.0,0.0,full_scale,6400.0,0.7812499999999999,12,92300.00000000001,92300.00000000001,0.0,74049.6910482716,74954.16693642584,-1.2214445129347342,300480.70642089867,307486.8198861994,-2.331635048636661,35499.98361706523,35499.9883306799,-1.3277793944439062e-05,19538.817701789263,19484.240024607894,0.27932947640107714,44859.60072361631,41179.920596710326,8.202659113211459,0.0,12671.793354370237,,0.0,1499.9627184615583,,2.29272899400587,2.387941703004458,-4.152811311215274,1.0877605238594161,1.0850074916758525,0.2530917534859358,21.37015480902869,31.569596580573545,-47.7275053114528,6.2887089998474535,7.434094843103494,-18.21337007776674,0.0,0.06335678862522924,,0.0,0.009999705344225618,,0.0,0.161823245190727,,0.0,0.038098200736681326,,4.057825254463532,4.102331230590577,-1.096793807916919,9.139139240515668,9.405870204623506,-2.918556738093727,4.0,4.0,0.0,2.252225937693216,2.2928110194850766,-1.8019986855061576,0.0,4.102331230590577,,0.13294100761413574,0.5477001667022705,-311.9873743487657,,,,,,,,,
20,1,-1,0,100.0,0.0,4.5,1.0,0.0,5700.0,700.0,5000.0,0.0,full_scale,6400.0,0.7812499999999999,15,92300.00000000001,92300.00000000001,0.0,77529.93421294705,78427.89475704214,-1.1582114098390968,388732.2539761966,402303.77213501633,-3.4912251350387793,35499.97358062041,35499.97614390099,-7.22051404203019e-06,18038.762123835706,17919.515353120238,0.6610585022233889,44860.00418731536,41180.17224296431,8.202923764754262,0.0,12671.776763714379,,0.0,1499.9614878747734,,2.2927284318121792,2.387890685326454,-4.150611655260808,1.0048960404684093,0.994490240441559,1.0355101033137613,21.369030554424313,31.561363244061624,-47.69674816870463,5.657038126731197,6.647224189924813,-17.503613039387,0.0,0.06335683400464902,,0.0,0.009999690077305824,,0.0,0.16182635270956117,,0.0,0.038098033143916014,,5.013963418419625,5.129600550687903,-2.3063018737525365,13.208739030744399,13.778817830977426,-4.31592144341805,4.5,4.5,0.0,2.6343907986765496,2.686138570911961,-1.9643164659323946,0.0,5.129600550687903,,0.142364501953125,0.5829453468322754,-309.47380760986067,,,,,,,,,
21,1,-1,1,100.0,0.0,5.0,1.0,0.0,5700.0,700.0,5000.0,0.0,full_scale,6400.0,0.7812499999999999,26,92300.00000000001,92300.00000000001,0.0,80202.2303429332,81059.57800757214,-1.068982322527754,490958.4245006497,513153.9854444108,-4.520863648757242,35499.98534358968,35499.94307668178,0.00011906176154419998,16664.558365916753,16501.10592666936,0.9808387096635921,44859.6179395071,41180.189990997955,8.202093815134205,0.0,12671.793368421942,,0.0,1499.960909592511,,2.2926724507338463,2.387861650647835,-4.15188832942623,0.9295342488099314,0.9134051352940868,1.735182273971553,21.365294160773658,31.55892203764884,-47.71115155339412,5.119081920208227,5.982268059181523,-16.86212786643946,0.0,0.06335680423439909,,0.0,0.009999750436081752,,0.0,0.16181791886298538,,0.0,0.03809799104985681,,6.121505878345054,6.330578052065294,-3.415371607496723,18.476218639446987,19.49097132959026,-5.4922097965260095,5.0,5.0,0.0,3.0182473216655517,3.0788612430101714,-2.008248989720674,0.0,6.330578052065294,,0.15267062187194824,0.6181747913360596,-304.9074954673013,,,,,,,,,
