response,term,coefficient,std_coefficient,p_value,rank
a_rms_m_s2,x2x3,0.00027904694284600567,0.0023720032050322947,7.530194781862431e-10,7
a_rms_m_s2,x1x3,0.00017081420776507474,0.0014519845447918307,8.90856015662275e-07,8
a_rms_m_s2,x1^2,-7.496808756083181e-05,-0.00045060855933327264,0.03283098115491377,9
j_peak_m_s3,x2,0.006845523011876644,0.915943843718074,2.020971797224579e-23,1
j_peak_m_s3,x3,-0.0022549470082063486,-0.3017161473993614,2.6932825021750633e-15,2
j_peak_m_s3,x1^2,0.0026976269155165166,0.20839316568802313,1.1848969845599422e-12,3
j_peak_m_s3,x1,-0.0010110974167254763,-0.13528673450402484,1.0977248001466437e-09,4
j_peak_m_s3,x3^2,0.0008738904374861513,0.06750851783274163,1.5700727274555102e-05,5
j_peak_m_s3,x1x2,0.00027601020379035805,0.03015377719332482,0.016512159351187602,6
j_peak_m_s3,x2^2,0.0002168677246717426,0.016753151230791956,0.15780769745207468,7
j_peak_m_s3,x1x3,-0.00014874255048472743,-0.01624994172277054,0.16993676819082904,8
j_peak_m_s3,x2x3,-8.547607196057871e-05,-0.00933815632126977,0.42157258829364974,9
j_rms_m_s3,x3,-0.7033982953321116,-0.9512823977172638,4.50796291473202e-37,1
j_rms_m_s3,x2,-0.19728067382045866,-0.26680421840743096,1.089757417995165e-27,2
j_rms_m_s3,x1,-0.09326010068799045,-0.12612582768904373,3.6225529951388376e-22,3
j_rms_m_s3,x2^2,-0.07400241740321088,-0.05778211426574614,1.8814181507211133e-16,4
j_rms_m_s3,x3^2,0.0571006846748314,0.04458500684587488,1.406818278451208e-14,5
j_rms_m_s3,x1x2,-0.04023758547701401,-0.044431853658612276,1.4892077597673708e-14,6
j_rms_m_s3,x2x3,0.019404552494847,0.02142723591738445,1.742513390512646e-09,7
j_rms_m_s3,x1x3,0.009096751895691329,0.010044975219225183,4.535123285434344e-05,8
j_rms_m_s3,x1^2,-0.009102938251700448,-0.007107700486970372,0.001312665638783518,9
u1_peak_m,x2,0.0013870437035129544,0.8572170066429021,3.0042835022729476e-27,1
u1_peak_m,x1,0.0007443177897366614,0.46000127183675493,1.1625805785968925e-22,2
u1_peak_m,x2^2,0.00047951157511035697,0.17109570248767175,1.987983766556653e-15,3
u1_peak_m,x1x2,0.0002948492607344325,0.1487835946171844,2.0166124823257072e-14,4
u1_peak_m,x1^2,0.0001081798625511549,0.03859992237716024,1.1463046172016965e-05,5
u1_peak_m,x2x3,1.716745006600224e-08,8.662850043675043e-06,0.9989211494589652,6
u1_peak_m,x3,-1.1263428233567178e-08,-6.96099352202238e-06,0.9991330944811909,7
u1_peak_m,x1x3,1.0001361116459108e-08,5.04677696754201e-06,0.9993714863780918,8
u1_peak_m,x3^2,8.09413983873083e-09,2.8880899098679335e-06,0.9996403241120058,9
u2_peak_m,x2,0.0015580366341044986,0.9720051833985378,3.1747015878259786e-29,1
u2_peak_m,x2^2,0.0004387047902597935,0.15801658256368578,7.003404110676994e-16,2
u2_peak_m,x1,0.00023295407118171117,0.14533199009955255,2.8208842792343914e-15,3
u2_peak_m,x1x2,0.00018001675325506568,0.091697651074292,5.344921571196764e-12,4
u2_peak_m,x1^2,-3.8961212713046974e-05,-0.014033395171743453,0.0201883082965025,5
u2_peak_m,x1x3,-2.0552491917052885e-08,-1.0469110226906556e-05,0.998497036399895,6
u2_peak_m,x3^2,2.1561829053746196e-08,7.766330836911362e-06,0.9988850517679138,7
u2_peak_m,x2x3,1.524426977433312e-08,7.76518688051518e-06,0.9988852159962067,8
u2_peak_m,x3,-1.0229105233585739e-08,-6.381585060924557e-06,0.9990838482223937,9
t_manoeuvre_s,x3,0.738476535232198,0.9992313652343243,2.8240692336950022e-68,1
t_manoeuvre_s,x3^2,0.04869911560111526,0.03804431810921353,3.803983009460737e-44,2
t_manoeuvre_s,x2,0.004884085637339063,0.0066086481106473515,3.1782351657544744e-31,3
t_manoeuvre_s,x1,0.004844390279698109,0.0065549363885862525,3.651055664306898e-31,4
t_manoeuvre_s,x1x3,0.0010559276595643126,0.0011665890457891786,1.873001862886692e-18,5
t_manoeuvre_s,x2x3,0.001028748203689297,0.0011365611786269658,2.9053436462784174e-18,6
t_manoeuvre_s,x1x2,1.8612304015579886e-05,2.056287642889516e-05,0.4788633371445984,7
t_manoeuvre_s,x2^2,2.1136169135202696e-05,1.651182228392207e-05,0.5685802687181399,8
t_manoeuvre_s,x1^2,-1.021489924462608e-05,-7.979998641027061e-06,0.782102043984435,9
distance_m,x3,3.339457530523853,0.9975541095974324,3.482678497247481e-66,1
distance_m,x3^2,0.4038145506268574,0.06964370605886974,1.5661166611125187e-46,2
distance_m,x2,0.013665214718713299,0.0040820375694508035,1.3610526121893095e-25,3
distance_m,x1,0.013471960743356794,0.004024309242154879,1.7333457036969738e-25,4
distance_m,x1x3,0.004787286374118783,0.001167627501506704,2.0817905168607113e-16,5
distance_m,x2x3,0.004685541151829323,0.001142811664222695,2.98110743942335e-16,6
distance_m,x2^2,0.0001526368818811224,2.632445541887886e-05,0.493698725818001,7
distance_m,x1x2,8.142059867167784e-05,1.9858626112729895e-05,0.6045338149996491,8
distance_m,x1^2,7.88938246759535e-07,1.3606390178518438e-07,0.9971573115538204,9
