response,term,coefficient,std_error,t_value,p_value,ci_low,ci_high,std_coefficient
F_chv1_peak_N,x2^2,95.90472430590656,3.5391690618714513,27.098090718275493,1.9913367203897106e-15,88.43773028658492,103.37171832522819,0.17109969931619212
F_chv1_peak_N,x3^2,0.0019177955657115639,3.539169061871453,0.000541877353747398,0.9995739524965628,-7.465076223755924,7.468911814887347,3.4214606946424035e-06
F_v1v2_peak_N,const,314.7980209805767,2.844404075845875,110.67274992810627,9.673997231025745e-26,308.7968529517049,320.7991890094485,1.5735552125640053
F_v1v2_peak_N,x1,34.943515179309486,1.3167032326465398,26.538641595854454,2.817049699849224e-15,32.16551418768851,37.721516170930464,0.1453336437709889
F_v1v2_peak_N,x2,233.70546489030403,1.3167032326465389,177.49289216869482,3.170920384920415e-29,230.92746389868304,236.483465881925,0.9720048657787034
F_v1v2_peak_N,x3,-0.001541693209409512,1.3167032326465395,-0.0011708737179225636,0.9990794084195006,-2.779542684830385,2.776459298411566,-6.4120593063042334e-06
F_v1v2_peak_N,x1x2,27.0028758551976,1.6126255313285762,16.74466596901206,5.337732603465138e-12,23.60053338798906,30.405218322406142,0.09169886522695049
F_v1v2_peak_N,x1x3,-0.002954269719896362,1.6126255313285767,-0.001831962636398581,0.9985596322111994,-3.4052967369284373,3.399388197488644,-1.0032382563307342e-05
F_v1v2_peak_N,x2x3,0.002425077568124293,1.6126255313285756,0.0015038070035554825,0.9988176420501822,-3.399917389640414,3.404767544776663,8.235302872065257e-06
F_v1v2_peak_N,x1^2,-5.842969295754702,2.2805968974339907,-2.56203509806091,0.020202940505861907,-10.654608156718956,-1.0313304347904477,-0.014030480607889098
F_v1v2_peak_N,x2^2,65.80582082860289,2.28059689743399,28.85464805404419,6.995020208567851e-16,60.99418196763864,70.61745968956714,0.15801679698929205
F_v1v2_peak_N,x3^2,0.0033527679990830754,2.280596897433991,0.0014701274051786334,0.9988441223831435,-4.808286092965171,4.814991628963338,8.050863184933137e-06
a_peak_m_s2,const,2.954386258432354,0.006970156345317832,423.86226535893246,1.1912329020758925e-35,2.9396805139950697,2.9690920028696386,54.651031977173766
a_peak_m_s2,x1,-0.022462543408677375,0.003226555421526219,-6.961772067765129,2.293908262031915e-06,-0.029269980299755496,-0.015655106517599254,-0.34573201749290583
a_peak_m_s2,x2,-0.04874305793766291,0.003226555421526217,-15.10684044429232,2.7662238446047352e-11,-0.055550494828741026,-0.0419356210465848,-0.7502283001955952
a_peak_m_s2,x3,-1.9541777621562955e-05,0.0032265554215262183,-0.006056544850024409,0.9952381120462626,-0.006826978668699683,0.006787895113456557,-0.0003007770794063652
a_peak_m_s2,x1x2,-0.024208434869479076,0.003951707204774964,-6.126069978116626,1.1197199272779838e-05,-0.03254580828914891,-0.015871061449809244,-0.3042298012949592
a_peak_m_s2,x1x3,-2.259801448093737e-06,0.003951707204774966,-0.0005718544747857715,0.9995503831850665,-0.00833963322111793,0.008335113618221745,-2.839914885973843e-05
a_peak_m_s2,x2x3,1.396308181655146e-07,0.003951707204774963,3.533430260136546e-05,0.9999722186356717,-0.008337233788851667,0.008337513050487997,1.7547543364194855e-06
