P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s
92300.00000000001,73928.4905126516,225970.09379963425,35499.99996411836,19650.616980778446,36056.94366415248,0.0,0.0,2.9628739053318895,1.4250986298648025,29.702437496797984,8.162449103119354,0.0,0.0,0.0,0.0,3.0566036481018553,6.834518537995244,4.0,2.235984564289386,0.0,13,rigid,start_off,rig_scale,0.11107683181762695
92300.00000000001,73932.90438563525,225997.8536015662,35499.99269182464,19650.53573403292,35970.297877427576,522.5059961655846,318.31429462750805,2.9527063527804103,1.4232050511179029,29.86446451917311,7.925875920701544,0.0026125377373556525,0.0021221008874163613,0.0562623021227511,0.03861917351716258,3.0567966385137213,6.835405001704203,4.0,2.236133393306849,3.0567966385137213,13,compliant,start_off,rig_scale,0.7179338932037354
92300.00000000001,77310.9076711396,289633.97652868036,35499.95076067675,18181.984169512525,36057.020440660475,0.0,0.0,2.962864123097006,1.3243373742177975,29.700440838100803,7.372759028822228,0.0,0.0,0.0,0.0,3.746353331676141,9.770033042832305,4.499999999999999,2.6078781757630383,0.0,14,rigid,start_off,rig_scale,0.11826586723327637
92300.00000000001,77314.65083647397,289668.91809694236,35499.867479921304,18181.867260097206,35970.45785817693,522.512615519299,318.30604849237767,2.952669873575246,1.322662157089164,29.860485498689513,7.159037912591537,0.0026125628868865183,0.0021220512173234373,0.05626230300641059,0.03861954150578165,3.7466238929231266,9.77123885449347,4.5,2.6080116882044813,3.7466238929231266,14,compliant,start_off,rig_scale,0.7406821250915527
92300.00000000001,79913.30039076482,362282.64765748504,35499.982722412744,16838.68708735789,36056.88565695254,0.0,0.0,2.962828681406677,1.2326784475283934,29.695105043467777,6.701722642214588,0.0,0.0,0.0,0.0,4.533446195889467,13.512913706934603,5.000000000000001,2.980715594088603,0.0,15,rigid,start_off,rig_scale,0.12467050552368164
92300.00000000001,79916.46026100201,362325.15898352215,35499.87596741297,16838.557512994383,35970.04203476136,522.5078530036823,318.28908032504,2.9526651327010995,1.2311827030348472,29.859950246503047,6.507438041288545,0.002612530154102452,0.0021219445974448494,0.05626189491906202,0.03861910431401369,4.53379889199536,13.514503435386091,5.0,2.9808343557635766,4.53379889199536,15,compliant,start_off,rig_scale,0.759373664855957
92300.00000000001,73928.8355927603,226246.60551903903,35499.999922217,19650.238238396592,36104.94190993805,0.0,0.0,2.9598605805216494,1.4233961793426733,29.655478350466865,8.148108967203505,0.0,0.0,0.0,0.0,3.0603296224672976,6.843005561374044,4.0,2.236035474613095,0.0,16,rigid,start_off,rig_scale,0.10924077033996582
92300.00000000001,73936.4236257933,226307.4075359775,35499.95719985717,19649.77260304505,35443.65975313419,883.0260552258195,618.3932662096008,2.8614867372186836,1.4190766825894887,29.871594887942024,7.622519021410069,0.0044151347958825,0.004122650034130642,0.08933555564232357,0.06878883196214142,3.060837898805649,6.845128725073732,4.0,2.236357817590039,3.060837898805649,16,compliant,start_off,rig_scale,0.7787868976593018
92300.00000000001,77311.71344479607,290000.202304421,35499.954968950595,18181.450608169736,36104.7105581936,0.0,0.0,2.959822865683009,1.322723411364206,29.653568731241933,7.359675718446819,0.0,0.0,0.0,0.0,3.751051288127171,9.78265275625997,4.5,2.607976285697977,0.0,17,rigid,start_off,rig_scale,0.11723875999450684
92300.00000000001,77317.28230910994,290057.165473408,35499.93643902468,18181.304863850968,35443.726623835544,883.0194553281925,618.4104159958596,2.861467983851412,1.3189572731073869,29.8680856239219,6.8851854278668165,0.004415076447282395,0.004122713997737578,0.08933756439671078,0.06878801070295149,3.7515178600532875,9.784649058023708,4.5,2.60818406644584,3.7515178600532875,17,compliant,start_off,rig_scale,0.8019633293151855
92300.00000000001,79914.35420125021,362753.08214228257,35499.98789974938,16838.046243101333,36104.85218089525,0.0,0.0,2.9598124027692165,1.2311498976399526,29.64795889030404,6.689724760758051,0.0,0.0,0.0,0.0,4.53927314770952,13.530902922571377,5.0,2.980852340515972,0.0,18,rigid,start_off,rig_scale,0.12361025810241699
92300.00000000001,79918.95576152726,362819.11842899746,35499.90449156289,16837.92064286206,35443.71487248424,883.0408397444302,618.4178366866386,2.861436704636958,1.2277998321122434,29.866898788381945,6.258438560615609,0.004415195577566685,0.004122792334266884,0.08933531710379049,0.06878715841964342,4.539838076859075,13.533373027916808,5.0,2.981025504188989,4.539838076859075,18,compliant,start_off,rig_scale,0.830223798751831
92300.00000000001,73928.4905126516,225970.09379963425,35499.99996411836,19650.616980778446,36056.94366415248,0.0,0.0,2.9628739053318895,1.4250986298648025,29.702437496797984,8.162449103119354,0.0,0.0,0.0,0.0,3.0566036481018553,6.834518537995244,4.0,2.235984564289386,0.0,19,rigid,start_off,rig_scale,0.11145520210266113
92300.00000000001,73932.82558287225,225996.07526787318,35499.98731359325,19650.53437093617,35908.46076067918,450.7562769748304,154.77258414091148,2.943963526869311,1.4236706670646513,29.8592850376524,7.988785336686512,0.0022537824266045765,0.0010318171138673873,0.04704883618595385,0.022099983548872718,3.0567758432896803,6.835335283703693,3.999999999999999,2.236125798017488,3.0567758432896803,19,compliant,start_off,rig_scale,0.6647708415985107
92300.00000000001,77310.9076711396,289633.97652868036,35499.95076067675,18181.984169512525,36057.020440660475,0.0,0.0,2.962864123097006,1.3243373742177975,29.700440838100803,7.372759028822228,0.0,0.0,0.0,0.0,3.746353331676141,9.770033042832305,4.499999999999999,2.6078781757630383,0.0,20,rigid,start_off,rig_scale,0.11855912208557129
92300.00000000001,77314.66243395644,289668.4490511008,35499.99986761969,18181.83762704781,35908.31790135833,450.756697423169,154.76398529081683,2.9439449189050038,1.3230668681660738,29.855484916272303,7.215833130724118,0.0022537829348586173,0.0010317550170488754,0.047049598950761044,0.022100185148877294,3.746617264203161,9.771223957260494,4.5,2.6080123262614783,3.746617264203161,20,compliant,start_off,rig_scale,0.6857151985168457
92300.00000000001,79913.30039076482,362282.64765748504,35499.982722412744,16838.68708735789,36056.88565695254,0.0,0.0,2.962828681406677,1.2326784475283934,29.695105043467777,6.701722642214588,0.0,0.0,0.0,0.0,4.533446195889467,13.512913706934603,5.000000000000001,2.980715594088603,0.0,21,rigid,start_off,rig_scale,0.12483000755310059
