response,source,df,SS,MS,F,p_value,contribution_pct
M_mean_Nm,Residual,17,84.03265729904909,4.943097488179358,,,0.00022492674074160233
M_mean_Nm,Total,26,37360011.98522967,,,,100.0
F_kch_peak_N,Linear,3,469404271.3418339,156468090.44727796,463.1437429288015,2.220446049250313e-16,98.68602785679253
F_kch_peak_N,Two-factor interactions,3,158463.43229353428,52821.14409784476,0.1563499772594239,0.9241424778526622,0.03331483680133482
F_kch_peak_N,Quadratic (curvature),3,348235.09636747837,116078.36545582612,0.34359062283298847,0.7941580919107446,0.07321181446132927
F_kch_peak_N,Residual,17,5743265.62371941,337839.1543364359,,,1.2074454919448034
F_kch_peak_N,Total,26,475654235.4942143,,,,100.0
a_peak_m_s2,Linear,3,1.1655995428616377,0.38853318095387923,294.6693922778719,7.549516567451064e-15,93.9597747192331
a_peak_m_s2,Two-factor interactions,3,0.04747119302475067,0.015823731008250224,12.000954946298664,0.00018379467898421709,3.8266852707476318
a_peak_m_s2,Quadratic (curvature),3,0.0050444676326479865,0.0016814892108826622,1.2752666391996228,0.3145887106653724,0.40663797892234693
a_peak_m_s2,Residual,17,0.022415168488172675,0.0013185393228336867,,,1.8069020310969393
a_peak_m_s2,Total,26,1.240530372007209,,,,100.0
a_rms_m_s2,Linear,3,0.5110233964800417,0.1703411321600139,40069.286200852344,1.1102230246251565e-16,99.15739831511029
a_rms_m_s2,Two-factor interactions,3,0.003440307874132076,0.0011467692913773586,269.75414780843187,1.5654144647214707e-14,0.6675466926791631
a_rms_m_s2,Quadratic (curvature),3,0.000829903899006168,0.000276634633002056,65.07267001380855,1.587152076432119e-09,0.16103198413975472
a_rms_m_s2,Residual,17,7.226979867334492e-05,4.251164627843818e-06,,,0.014023008070796941
a_rms_m_s2,Total,26,0.5153658780518533,,,,100.0
j_peak_m_s3,Linear,3,218.4527539092197,72.81758463640656,14744.216725826233,1.1102230246251565e-16,97.77880370677839
j_peak_m_s3,Two-factor interactions,3,3.879694106879242,1.2932313689597474,261.8554800435691,2.0095036745715333e-14,1.7365395570912963
j_peak_m_s3,Quadratic (curvature),3,0.9988387640015048,0.33294625466716826,67.415470608874,1.2046985631286589e-09,0.4470772635835486
j_peak_m_s3,Residual,17,0.08395827067914607,0.004938721804655651,,,0.037579472546765275
j_peak_m_s3,Total,26,223.4152450507796,,,,100.0
j_rms_m_s3,Linear,3,18.25820577160489,6.086068590534963,1320.7265096077822,1.1102230246251565e-16,99.09879480337926
j_rms_m_s3,Two-factor interactions,3,0.06547199849361363,0.02182399949787121,4.735985842705046,0.014045594135768447,0.35535781693161755
j_rms_m_s3,Quadratic (curvature),3,0.02223019399479398,0.007410064664931326,1.608044453541472,0.22455991894241467,0.12065727929057954
j_rms_m_s3,Residual,17,0.07833807021093259,0.004608121777113681,,,0.42519010039854227
j_rms_m_s3,Total,26,18.42424603430423,,,,100.0
t_manoeuvre_s,Linear,3,30.553284961162863,10.184428320387621,54686.39400974263,1.1102230246251565e-16,98.46838323502007
t_manoeuvre_s,Two-factor interactions,3,0.432249048221518,0.14408301607383933,773.6694038439821,1.1102230246251565e-16,1.3930700082610417
t_manoeuvre_s,Quadratic (curvature),3,0.03982304598707387,0.013274348662357957,71.27805688604212,7.790498246507127e-10,0.12834335027560886
t_manoeuvre_s,Residual,17,0.003165966317247846,0.00018623331277928506,,,0.010203406443274337
t_manoeuvre_s,Total,26,31.028523021688702,,,,100.0
distance_m,Linear,3,486.20974915293266,162.0699163843109,26100.951730844707,1.1102230246251565e-16,97.76725995008795
distance_m,Two-factor interactions,3,8.734114664368576,2.9113715547895254,468.8690542785512,1.1102230246251565e-16,1.7562594339436175
distance_m,Quadratic (curvature),3,2.2640433348868783,0.7546811116289595,121.5394917592155,1.1008749467578127e-11,0.455254781801025
distance_m,Residual,17,0.10555893160314728,0.006209348917832193,,,0.021225834167410598
distance_m,Total,26,497.31346608379124,,,,100.0
