run_id,x1_coded,x2_coded,x3_coded,front_fill_pct,rear_fill_pct,speed_factor_mps,lambda_1,lambda_2,front_unit_mass_kg,rear_unit_mass_kg,front_liquid_mass_kg,rear_liquid_mass_kg,scale,total_movable_mass_kg,load_asymmetry,randomized_run_id,P_peak_W__rigid,P_peak_W__compliant,P_peak_W__reduction_pct,P_mean_W__rigid,P_mean_W__compliant,P_mean_W__reduction_pct,E_engine_J__rigid,E_engine_J__compliant,E_engine_J__reduction_pct,M_peak_Nm__rigid,M_peak_Nm__compliant,M_peak_Nm__reduction_pct,M_mean_Nm__rigid,M_mean_Nm__compliant,M_mean_Nm__reduction_pct,F_kch_peak_N__rigid,F_kch_peak_N__compliant,F_kch_peak_N__reduction_pct,F_chv1_peak_N__rigid,F_chv1_peak_N__compliant,F_chv1_peak_N__reduction_pct,F_v1v2_peak_N__rigid,F_v1v2_peak_N__compliant,F_v1v2_peak_N__reduction_pct,a_peak_m_s2__rigid,a_peak_m_s2__compliant,a_peak_m_s2__reduction_pct,a_rms_m_s2__rigid,a_rms_m_s2__compliant,a_rms_m_s2__reduction_pct,j_peak_m_s3__rigid,j_peak_m_s3__compliant,j_peak_m_s3__reduction_pct,j_rms_m_s3__rigid,j_rms_m_s3__compliant,j_rms_m_s3__reduction_pct,u1_peak_m__rigid,u1_peak_m__compliant,u1_peak_m__reduction_pct,u2_peak_m__rigid,u2_peak_m__compliant,u2_peak_m__reduction_pct,du1_peak_m_s__rigid,du1_peak_m_s__compliant,du1_peak_m_s__reduction_pct,du2_peak_m_s__rigid,du2_peak_m_s__compliant,du2_peak_m_s__reduction_pct,t_manoeuvre_s__rigid,t_manoeuvre_s__compliant,t_manoeuvre_s__reduction_pct,distance_m__rigid,distance_m__compliant,distance_m__reduction_pct,v_end_m_s__rigid,v_end_m_s__compliant,v_end_m_s__reduction_pct,v_mean_m_s__rigid,v_mean_m_s__compliant,v_mean_m_s__reduction_pct,settling_time_s__rigid,settling_time_s__compliant,settling_time_s__reduction_pct,wall_time_s__rigid,wall_time_s__compliant,wall_time_s__reduction_pct
11,0,-1,0,50.0,0.0,4.5,0.5,0.0,65.0,40.0,25.0,0.0,rig_scale,105.0,0.23809523809523583,10,92300.00000000001,92300.00000000001,0.0,77310.0979952194,77312.32850983225,-0.0028851530016003176,289267.9040728229,289291.2602380244,-0.008074233218642786,35499.946499736034,35499.99168596548,-0.0001272853451860756,18182.518317290473,18182.480655237858,0.00020713331320607595,36008.86673983241,35897.98590489934,0.30792647748177393,0.0,341.4720324815953,,0.0,139.30279257375773,,2.965877180981238,2.953174219943776,0.42830367753999066,1.325954572599329,1.3250525359612004,0.0680292263980195,29.747418059253505,29.85441347324513,-0.35967966624365,7.385896162508571,7.276522323746837,1.4808472303865352,0.0,0.0017073603821277216,,0.0,0.0009286849877184355,,0.0,0.03497648237240358,,0.0,0.019631554666550106,,3.7416574493374752,3.741851601342386,-0.00518893050846453,9.75741853404124,9.758199415340664,-0.008002949721803104,4.5,4.5,0.0,2.607779764884375,2.607853144507212,-0.0028138734652850875,0.0,3.741851601342386,,0.11685848236083984,0.6895720958709717,-490.09160647978126
12,0,-1,1,50.0,0.0,5.0,0.5,0.0,65.0,40.0,25.0,0.0,rig_scale,105.0,0.23809523809523583,7,92300.00000000001,92300.00000000001,0.0,79912.24570502508,79914.13132726372,-0.0023596161289206378,361812.51859592146,361840.9679688496,-0.007863015088180705,35499.97675141579,35499.999867137296,-6.511475112011889e-05,16839.327369704384,16839.281325963708,0.0002734298090743997,36008.85220877986,35898.15847857799,0.3074069941470686,0.0,341.47119479643965,,0.0,139.30268534588606,,2.9658526802734286,2.953157996853747,0.4280281183255247,1.2342099300168612,1.2334035693318208,0.0653341595646818,29.74250259722004,29.853254377850874,-0.3723687348393704,6.713769202306022,6.614337711497123,1.4810084739693774,0.0,0.0017073543561306798,,0.0,0.0009286841548178879,,0.0,0.03497746924276828,,0.0,0.019630237403331918,,4.527622961960757,4.527872129236334,-0.005503269103237373,13.494937354874704,13.495973026401318,-0.007674518964992885,5.0,5.0,0.0,2.9805788892218565,2.9806436014809177,-0.0021711305577294324,0.0,4.527872129236334,,0.12359356880187988,0.7087726593017578,-473.47050188179145
13,0,0,-1,50.0,50.0,4.0,0.5,0.5,65.0,65.0,25.0,25.0,rig_scale,130.0,0.0,17,92300.00000000001,92300.00000000001,0.0,73928.4905126516,73932.90438563525,-0.005970462744536267,225970.09379963425,225997.8536015662,-0.012284723816840808,35499.99996411836,35499.99269182464,2.048533443877686e-05,19650.616980778446,19650.53573403292,0.0004134564609587067,36056.94366415248,35970.297877427576,0.24030263777195054,0.0,522.5059961655846,,0.0,318.31429462750805,,2.9628739053318895,2.9527063527804103,0.343165213112245,1.4250986298648025,1.4232050511179029,0.13287352238064404,29.702437496797984,29.86446451917311,-0.5455007603082902,8.162449103119354,7.925875920701544,2.898311271887761,0.0,0.0026125377373556525,,0.0,0.0021221008874163613,,0.0,0.0562623021227511,,0.0,0.03861917351716258,,3.0566036481018553,3.0567966385137213,-0.006313884104204741,6.834518537995244,6.835405001704203,-0.012970389999392023,4.0,4.0,0.0,2.235984564289386,2.236133393306849,-0.0066560842968178555,0.0,3.0567966385137213,,0.11107683181762695,0.7179338932037354,-546.339908562107
14,0,0,0,50.0,50.0,4.5,0.5,0.5,65.0,65.0,25.0,25.0,rig_scale,130.0,0.0,4,92300.00000000001,92300.00000000001,0.0,77310.9076711396,77314.65083647397,-0.0048417040326171595,289633.97652868036,289668.91809694236,-0.012064043273093671,35499.95076067675,35499.867479921304,0.00023459400270295345,18181.984169512525,18181.867260097206,0.0006429959141383206,36057.020440660475,35970.45785817693,0.24007136869781423,0.0,522.512615519299,,0.0,318.30604849237767,,2.962864123097006,2.952669873575246,0.34406739891615984,1.3243373742177975,1.322662157089164,0.12649474078484385,29.700440838100803,29.860485498689513,-0.5388629127127262,7.372759028822228,7.159037912591537,2.8987942694884423,0.0,0.0026125628868865183,,0.0,0.0021220512173234373,,0.0,0.05626230300641059,,0.0,0.03861954150578165,,3.746353331676141,3.7466238929231266,-0.0072219895731168784,9.770033042832305,9.77123885449347,-0.01234194046099102,4.499999999999999,4.5,-1.973729821555834e-14,2.6078781757630383,2.6080116882044813,-0.005119581224453907,0.0,3.7466238929231266,,0.11826586723327637,0.7406821250915527,-526.2856244317529
15,0,0,1,50.0,50.0,5.0,0.5,0.5,65.0,65.0,25.0,25.0,rig_scale,130.0,0.0,1,92300.00000000001,92300.00000000001,0.0,79913.30039076482,79916.46026100201,-0.003954123058030994,362282.64765748504,362325.15898352215,-0.011734298154215273,35499.982722412744,35499.87596741297,0.00030071845558321693,16838.68708735789,16838.557512994383,0.0007695039573649868,36056.88565695254,35970.04203476136,0.24085170033100406,0.0,522.5078530036823,,0.0,318.28908032504,,2.962828681406677,2.9526651327010995,0.3430353151823798,1.2326784475283934,1.2311827030348472,0.12134101123818965,29.695105043467777,29.859950246503047,-0.5551258458051224,6.701722642214588,6.507438041288545,2.899024792554564,0.0,0.002612530154102452,,0.0,0.0021219445974448494,,0.0,0.05626189491906202,,0.0,0.03861910431401369,,4.533446195889467,4.53379889199536,-0.007779867470646808,13.512913706934603,13.514503435386091,-0.011764512716992364,5.000000000000001,5.0,1.77635683940025e-14,2.980715594088603,2.9808343557635766,-0.003984334339341451,0.0,4.53379889199536,,0.12467050552368164,0.759373664855957,-509.1045044424811
16,0,1,-1,50.0,100.0,4.0,0.5,1.0,65.0,90.0,25.0,50.0,rig_scale,155.0,0.16129032258064413,24,92300.00000000001,92300.00000000001,0.0,73928.8355927603,73936.4236257933,-0.01026396935939235,226246.60551903903,226307.4075359775,-0.02687422284147281,35499.999922217,35499.95719985717,0.00012034467584341502,19650.238238396592,19649.77260304505,0.0023696168254701004,36104.94190993805,35443.65975313419,1.8315557976893886,0.0,883.0260552258195,,0.0,618.3932662096008,,2.9598605805216494,2.8614867372186836,3.3235971974608414,1.4233961793426733,1.4190766825894887,0.303464124456151,29.655478350466865,29.871594887942024,-0.7287575500253454,8.148108967203505,7.622519021410069,6.450453079468611,0.0,0.0044151347958825,,0.0,0.004122650034130642,,0.0,0.08933555564232357,,0.0,0.06878883196214142,,3.0603296224672976,3.060837898805649,-0.016608548785718165,6.843005561374044,6.845128725073732,-0.031026771506252562,4.0,4.0,0.0,2.236035474613095,2.236357817590039,-0.014415825714934589,0.0,3.060837898805649,,0.10924077033996582,0.7787868976593018,-612.908646868432
17,0,1,0,50.0,100.0,4.5,0.5,1.0,65.0,90.0,25.0,50.0,rig_scale,155.0,0.16129032258064413,21,92300.00000000001,92300.00000000001,0.0,77311.71344479607,77317.28230910994,-0.007203131408861387,290000.202304421,290057.165473408,-0.019642458361880392,35499.954968950595,35499.93643902468,5.219704062610371e-05,18181.450608169736,18181.304863850968,0.0008016099590138106,36104.7105581936,35443.726623835544,1.8307415407545755,0.0,883.0194553281925,,0.0,618.4104159958596,,2.959822865683009,2.861467983851412,3.32299891902147,1.322723411364206,1.3189572731073869,0.28472606022258207,29.653568731241933,29.8680856239219,-0.7234100375040516,7.359675718446819,6.8851854278668165,6.447163010059066,0.0,0.004415076447282395,,0.0,0.004122713997737578,,0.0,0.08933756439671078,,0.0,0.06878801070295149,,3.751051288127171,3.7515178600532875,-0.01243843099648723,9.78265275625997,9.784649058023708,-0.02040654834099287,4.5,4.5,0.0,2.607976285697977,2.60818406644584,-0.007967125659935391,0.0,3.7515178600532875,,0.11723875999450684,0.8019633293151855,-584.0428279459464
18,0,1,1,50.0,100.0,5.0,0.5,1.0,65.0,90.0,25.0,50.0,rig_scale,155.0,0.16129032258064413,13,92300.00000000001,92300.00000000001,0.0,79914.35420125021,79918.95576152726,-0.005758114825605937,362753.08214228257,362819.11842899746,-0.01820419728067061,35499.98789974938,35499.90449156289,0.00023495271808038356,16838.046243101333,16837.92064286206,0.0007459311933197599,36104.85218089525,35443.71487248424,1.8311591613740148,0.0,883.0408397444302,,0.0,618.4178366866386,,2.9598124027692165,2.861436704636958,3.3237139637707345,1.2311498976399526,1.2277998321122434,0.27210866313932336,29.64795889030404,29.866898788381945,-0.7384653320924137,6.689724760758051,6.258438560615609,6.446994690609224,0.0,0.004415195577566685,,0.0,0.004122792334266884,,0.0,0.08933531710379049,,0.0,0.06878715841964342,,4.53927314770952,4.539838076859075,-0.012445365836606749,13.530902922571377,13.533373027916808,-0.018255288354115124,5.0,5.0,0.0,2.980852340515972,2.981025504188989,-0.005809199961482976,0.0,4.539838076859075,,0.12361025810241699,0.830223798751831,-571.646359692859
19,1,-1,-1,100.0,0.0,4.0,1.0,0.0,90.0,40.0,50.0,0.0,rig_scale,130.0,0.3846153846153817,12,92300.00000000001,92300.00000000001,0.0,73928.4905126516,73932.82558287225,-0.0058638695184907285,225970.09379963425,225996.07526787318,-0.011497746361942732,35499.99996411836,35499.98731359325,3.563528203623035e-05,19650.616980778446,19650.53437093617,0.00042039312230008155,36056.94366415248,35908.46076067918,0.41180113560461856,0.0,450.7562769748304,,0.0,154.77258414091148,,2.9628739053318895,2.943963526869311,0.6382444567940642,1.4250986298648025,1.4236706670646513,0.10020098049541294,29.702437496797984,29.8592850376524,-0.5280628597276679,8.162449103119354,7.988785336686512,2.1275938659939064,0.0,0.0022537824266045765,,0.0,0.0010318171138673873,,0.0,0.04704883618595385,,0.0,0.022099983548872718,,3.0566036481018553,3.0567758432896803,-0.005633546499625746,6.834518537995244,6.835335283703693,-0.011950303505778692,4.0,3.999999999999999,2.220446049250313e-14,2.235984564289386,2.236125798017488,-0.006316399958995946,0.0,3.0567758432896803,,0.11145520210266113,0.6647708415985107,-496.4466701035559
20,1,-1,0,100.0,0.0,4.5,1.0,0.0,90.0,40.0,50.0,0.0,rig_scale,130.0,0.3846153846153817,15,92300.00000000001,92300.00000000001,0.0,77310.9076711396,77314.66243395644,-0.004856705127316939,289633.97652868036,289668.4490511008,-0.011902098929697173,35499.95076067675,35499.99986761969,-0.00013832960860117108,18181.984169512525,18181.83762704781,0.0008059761979098208,36057.020440660475,35908.31790135833,0.4124093934685162,0.0,450.756697423169,,0.0,154.76398529081683,,2.962864123097006,2.9439449189050038,0.6385444423359707,1.3243373742177975,1.3230668681660738,0.09593522590677837,29.700440838100803,29.855484916272303,-0.5220261847851211,7.372759028822228,7.215833130724118,2.128455541333191,0.0,0.0022537829348586173,,0.0,0.0010317550170488754,,0.0,0.047049598950761044,,0.0,0.022100185148877294,,3.746353331676141,3.746617264203161,-0.007045051644990172,9.770033042832305,9.771223957260494,-0.012189461621761035,4.499999999999999,4.5,-1.973729821555834e-14,2.6078781757630383,2.6080123262614783,-0.005144047742980171,0.0,3.746617264203161,,0.11855912208557129,0.6857151985168457,-478.3740520800446
